datetime,topk,topk_overlap,seed,comparison
2025-03-07,50,0.1,1,partial_fgsm_vs_partial_clean
2025-03-10,50,0.1,1,partial_fgsm_vs_partial_clean
2025-03-11,50,0.1,1,partial_fgsm_vs_partial_clean
2025-03-12,50,0.08,1,partial_fgsm_vs_partial_clean
2025-03-13,50,0.1,1,partial_fgsm_vs_partial_clean
2025-03-14,50,0.14,1,partial_fgsm_vs_partial_clean
2025-03-17,50,0.02,1,partial_fgsm_vs_partial_clean
2025-03-18,50,0.04,1,partial_fgsm_vs_partial_clean
2025-03-19,50,0.06,1,partial_fgsm_vs_partial_clean
2025-03-20,50,0.14,1,partial_fgsm_vs_partial_clean
2025-03-21,50,0.16,1,partial_fgsm_vs_partial_clean
2025-03-24,50,0.26,1,partial_fgsm_vs_partial_clean
2025-03-25,50,0.1,1,partial_fgsm_vs_partial_clean
2025-03-26,50,0.1,1,partial_fgsm_vs_partial_clean
2025-03-27,50,0.08,1,partial_fgsm_vs_partial_clean
2025-03-28,50,0.16,1,partial_fgsm_vs_partial_clean
2025-03-31,50,0.4,1,partial_fgsm_vs_partial_clean
2025-04-01,50,0.14,1,partial_fgsm_vs_partial_clean
2025-04-02,50,0.02,1,partial_fgsm_vs_partial_clean
2025-04-03,50,0.08,1,partial_fgsm_vs_partial_clean
2025-04-07,50,0.3,1,partial_fgsm_vs_partial_clean
2025-04-08,50,0.22,1,partial_fgsm_vs_partial_clean
2025-04-09,50,0.68,1,partial_fgsm_vs_partial_clean
2025-04-10,50,0.18,1,partial_fgsm_vs_partial_clean
2025-04-11,50,0.26,1,partial_fgsm_vs_partial_clean
2025-04-14,50,0.24,1,partial_fgsm_vs_partial_clean
2025-04-15,50,0.08,1,partial_fgsm_vs_partial_clean
2025-04-16,50,0.26,1,partial_fgsm_vs_partial_clean
2025-04-17,50,0.3,1,partial_fgsm_vs_partial_clean
2025-04-18,50,0.2,1,partial_fgsm_vs_partial_clean
2025-04-21,50,0.36,1,partial_fgsm_vs_partial_clean
2025-04-22,50,0.2,1,partial_fgsm_vs_partial_clean
2025-04-23,50,0.24,1,partial_fgsm_vs_partial_clean
2025-04-24,50,0.2,1,partial_fgsm_vs_partial_clean
2025-04-25,50,0.22,1,partial_fgsm_vs_partial_clean
2025-04-28,50,0.32,1,partial_fgsm_vs_partial_clean
2025-04-29,50,0.18,1,partial_fgsm_vs_partial_clean
2025-04-30,50,0.0,1,partial_fgsm_vs_partial_clean
2025-05-06,50,0.0,1,partial_fgsm_vs_partial_clean
2025-05-07,50,0.06,1,partial_fgsm_vs_partial_clean
2025-05-08,50,0.02,1,partial_fgsm_vs_partial_clean
2025-05-09,50,0.0,1,partial_fgsm_vs_partial_clean
2025-05-12,50,0.04,1,partial_fgsm_vs_partial_clean
2025-05-13,50,0.02,1,partial_fgsm_vs_partial_clean
2025-05-14,50,0.06,1,partial_fgsm_vs_partial_clean
2025-05-15,50,0.12,1,partial_fgsm_vs_partial_clean
2025-05-16,50,0.26,1,partial_fgsm_vs_partial_clean
2025-05-19,50,0.06,1,partial_fgsm_vs_partial_clean
2025-05-20,50,0.0,1,partial_fgsm_vs_partial_clean
2025-05-21,50,0.04,1,partial_fgsm_vs_partial_clean
2025-05-22,50,0.2,1,partial_fgsm_vs_partial_clean
2025-05-23,50,0.24,1,partial_fgsm_vs_partial_clean
2025-05-26,50,0.1,1,partial_fgsm_vs_partial_clean
2025-05-27,50,0.02,1,partial_fgsm_vs_partial_clean
2025-05-28,50,0.08,1,partial_fgsm_vs_partial_clean
2025-05-29,50,0.08,1,partial_fgsm_vs_partial_clean
2025-05-30,50,0.02,1,partial_fgsm_vs_partial_clean
2025-06-03,50,0.2,1,partial_fgsm_vs_partial_clean
2025-06-04,50,0.06,1,partial_fgsm_vs_partial_clean
2025-06-05,50,0.12,1,partial_fgsm_vs_partial_clean
2025-06-06,50,0.06,1,partial_fgsm_vs_partial_clean
2025-06-09,50,0.1,1,partial_fgsm_vs_partial_clean
2025-06-10,50,0.24,1,partial_fgsm_vs_partial_clean
2025-06-11,50,0.08,1,partial_fgsm_vs_partial_clean
2025-06-12,50,0.08,1,partial_fgsm_vs_partial_clean
2025-06-13,50,0.24,1,partial_fgsm_vs_partial_clean
2025-06-16,50,0.38,1,partial_fgsm_vs_partial_clean
2025-06-17,50,0.06,1,partial_fgsm_vs_partial_clean
2025-06-18,50,0.08,1,partial_fgsm_vs_partial_clean
2025-06-19,50,0.22,1,partial_fgsm_vs_partial_clean
2025-06-20,50,0.32,1,partial_fgsm_vs_partial_clean
2025-06-23,50,0.16,1,partial_fgsm_vs_partial_clean
2025-06-24,50,0.02,1,partial_fgsm_vs_partial_clean
2025-06-25,50,0.06,1,partial_fgsm_vs_partial_clean
2025-06-26,50,0.12,1,partial_fgsm_vs_partial_clean
2025-06-27,50,0.12,1,partial_fgsm_vs_partial_clean
2025-06-30,50,0.0,1,partial_fgsm_vs_partial_clean
2025-07-01,50,0.08,1,partial_fgsm_vs_partial_clean
2025-07-02,50,0.1,1,partial_fgsm_vs_partial_clean
2025-07-03,50,0.22,1,partial_fgsm_vs_partial_clean
2025-07-04,50,0.14,1,partial_fgsm_vs_partial_clean
2025-07-07,50,0.06,1,partial_fgsm_vs_partial_clean
2025-07-08,50,0.04,1,partial_fgsm_vs_partial_clean
2025-07-09,50,0.0,1,partial_fgsm_vs_partial_clean
2025-07-10,50,0.08,1,partial_fgsm_vs_partial_clean
2025-07-11,50,0.08,1,partial_fgsm_vs_partial_clean
2025-07-14,50,0.06,1,partial_fgsm_vs_partial_clean
2025-07-15,50,0.08,1,partial_fgsm_vs_partial_clean
2025-07-16,50,0.18,1,partial_fgsm_vs_partial_clean
2025-07-17,50,0.04,1,partial_fgsm_vs_partial_clean
2025-07-18,50,0.02,1,partial_fgsm_vs_partial_clean
2025-07-21,50,0.1,1,partial_fgsm_vs_partial_clean
2025-07-22,50,0.24,1,partial_fgsm_vs_partial_clean
2025-07-23,50,0.16,1,partial_fgsm_vs_partial_clean
2025-07-24,50,0.06,1,partial_fgsm_vs_partial_clean
2025-07-25,50,0.0,1,partial_fgsm_vs_partial_clean
2025-07-28,50,0.02,1,partial_fgsm_vs_partial_clean
2025-07-29,50,0.1,1,partial_fgsm_vs_partial_clean
2025-07-30,50,0.14,1,partial_fgsm_vs_partial_clean
2025-07-31,50,0.24,1,partial_fgsm_vs_partial_clean
2025-08-01,50,0.18,1,partial_fgsm_vs_partial_clean
2025-08-04,50,0.04,1,partial_fgsm_vs_partial_clean
2025-08-05,50,0.0,1,partial_fgsm_vs_partial_clean
2025-08-06,50,0.02,1,partial_fgsm_vs_partial_clean
2025-08-07,50,0.06,1,partial_fgsm_vs_partial_clean
2025-08-08,50,0.04,1,partial_fgsm_vs_partial_clean
2025-08-11,50,0.02,1,partial_fgsm_vs_partial_clean
2025-08-12,50,0.04,1,partial_fgsm_vs_partial_clean
2025-08-13,50,0.06,1,partial_fgsm_vs_partial_clean
2025-08-14,50,0.1,1,partial_fgsm_vs_partial_clean
2025-08-15,50,0.04,1,partial_fgsm_vs_partial_clean
2025-08-18,50,0.04,1,partial_fgsm_vs_partial_clean
2025-08-19,50,0.0,1,partial_fgsm_vs_partial_clean
2025-08-20,50,0.08,1,partial_fgsm_vs_partial_clean
2025-08-21,50,0.06,1,partial_fgsm_vs_partial_clean
2025-08-22,50,0.02,1,partial_fgsm_vs_partial_clean
2025-08-25,50,0.1,1,partial_fgsm_vs_partial_clean
2025-08-26,50,0.1,1,partial_fgsm_vs_partial_clean
2025-08-27,50,0.14,1,partial_fgsm_vs_partial_clean
2025-08-28,50,0.64,1,partial_fgsm_vs_partial_clean
2025-08-29,50,0.24,1,partial_fgsm_vs_partial_clean
2025-09-01,50,0.08,1,partial_fgsm_vs_partial_clean
2025-09-02,50,0.16,1,partial_fgsm_vs_partial_clean
2025-09-03,50,0.18,1,partial_fgsm_vs_partial_clean
2025-09-04,50,0.38,1,partial_fgsm_vs_partial_clean
2025-09-05,50,0.02,1,partial_fgsm_vs_partial_clean
2025-09-08,50,0.02,1,partial_fgsm_vs_partial_clean
2025-09-09,50,0.0,1,partial_fgsm_vs_partial_clean
2025-09-10,50,0.0,1,partial_fgsm_vs_partial_clean
2025-09-11,50,0.04,1,partial_fgsm_vs_partial_clean
2025-09-12,50,0.02,1,partial_fgsm_vs_partial_clean
2025-09-15,50,0.02,1,partial_fgsm_vs_partial_clean
2025-09-16,50,0.04,1,partial_fgsm_vs_partial_clean
2025-09-17,50,0.1,1,partial_fgsm_vs_partial_clean
2025-09-18,50,0.24,1,partial_fgsm_vs_partial_clean
2025-09-19,50,0.18,1,partial_fgsm_vs_partial_clean
2025-09-22,50,0.16,1,partial_fgsm_vs_partial_clean
2025-09-23,50,0.2,1,partial_fgsm_vs_partial_clean
2025-09-24,50,0.08,1,partial_fgsm_vs_partial_clean
2025-09-25,50,0.08,1,partial_fgsm_vs_partial_clean
2025-09-26,50,0.16,1,partial_fgsm_vs_partial_clean
2025-09-29,50,0.1,1,partial_fgsm_vs_partial_clean
2025-09-30,50,0.02,1,partial_fgsm_vs_partial_clean
2025-10-09,50,0.12,1,partial_fgsm_vs_partial_clean
2025-10-10,50,0.02,1,partial_fgsm_vs_partial_clean
2025-10-13,50,0.14,1,partial_fgsm_vs_partial_clean
2025-10-14,50,0.22,1,partial_fgsm_vs_partial_clean
2025-10-15,50,0.04,1,partial_fgsm_vs_partial_clean
2025-10-16,50,0.04,1,partial_fgsm_vs_partial_clean
2025-10-17,50,0.44,1,partial_fgsm_vs_partial_clean
2025-10-20,50,0.14,1,partial_fgsm_vs_partial_clean
2025-10-21,50,0.0,1,partial_fgsm_vs_partial_clean
2025-10-22,50,0.02,1,partial_fgsm_vs_partial_clean
2025-10-23,50,0.06,1,partial_fgsm_vs_partial_clean
2025-10-24,50,0.04,1,partial_fgsm_vs_partial_clean
2025-10-27,50,0.08,1,partial_fgsm_vs_partial_clean
2025-10-28,50,0.06,1,partial_fgsm_vs_partial_clean
2025-10-29,50,0.04,1,partial_fgsm_vs_partial_clean
2025-10-30,50,0.12,1,partial_fgsm_vs_partial_clean
2025-10-31,50,0.22,1,partial_fgsm_vs_partial_clean
2025-01-02,50,0.2,1,partial_pgd_vs_partial_clean
2025-01-03,50,0.14,1,partial_pgd_vs_partial_clean
2025-01-06,50,0.1,1,partial_pgd_vs_partial_clean
2025-01-07,50,0.02,1,partial_pgd_vs_partial_clean
2025-01-08,50,0.5,1,partial_pgd_vs_partial_clean
2025-01-09,50,0.4,1,partial_pgd_vs_partial_clean
2025-01-10,50,0.24,1,partial_pgd_vs_partial_clean
2025-01-13,50,0.08,1,partial_pgd_vs_partial_clean
2025-01-14,50,0.04,1,partial_pgd_vs_partial_clean
2025-01-15,50,0.04,1,partial_pgd_vs_partial_clean
2025-01-16,50,0.1,1,partial_pgd_vs_partial_clean
2025-01-17,50,0.08,1,partial_pgd_vs_partial_clean
2025-01-20,50,0.02,1,partial_pgd_vs_partial_clean
2025-01-21,50,0.06,1,partial_pgd_vs_partial_clean
2025-01-22,50,0.06,1,partial_pgd_vs_partial_clean
2025-01-23,50,0.06,1,partial_pgd_vs_partial_clean
2025-01-24,50,0.0,1,partial_pgd_vs_partial_clean
2025-01-27,50,0.0,1,partial_pgd_vs_partial_clean
2025-02-05,50,0.1,1,partial_pgd_vs_partial_clean
2025-02-06,50,0.08,1,partial_pgd_vs_partial_clean
2025-02-07,50,0.02,1,partial_pgd_vs_partial_clean
2025-02-10,50,0.02,1,partial_pgd_vs_partial_clean
2025-02-11,50,0.08,1,partial_pgd_vs_partial_clean
2025-02-12,50,0.06,1,partial_pgd_vs_partial_clean
2025-02-13,50,0.06,1,partial_pgd_vs_partial_clean
2025-02-14,50,0.0,1,partial_pgd_vs_partial_clean
2025-02-17,50,0.02,1,partial_pgd_vs_partial_clean
2025-02-18,50,0.02,1,partial_pgd_vs_partial_clean
2025-02-19,50,0.02,1,partial_pgd_vs_partial_clean
2025-02-20,50,0.0,1,partial_pgd_vs_partial_clean
2025-02-21,50,0.04,1,partial_pgd_vs_partial_clean
2025-02-24,50,0.04,1,partial_pgd_vs_partial_clean
2025-02-25,50,0.06,1,partial_pgd_vs_partial_clean
2025-02-26,50,0.06,1,partial_pgd_vs_partial_clean
2025-02-27,50,0.06,1,partial_pgd_vs_partial_clean
2025-02-28,50,0.04,1,partial_pgd_vs_partial_clean
2025-03-03,50,0.04,1,partial_pgd_vs_partial_clean
2025-03-04,50,0.02,1,partial_pgd_vs_partial_clean
2025-03-05,50,0.0,1,partial_pgd_vs_partial_clean
2025-03-06,50,0.0,1,partial_pgd_vs_partial_clean
2025-03-07,50,0.04,1,partial_pgd_vs_partial_clean
2025-03-10,50,0.04,1,partial_pgd_vs_partial_clean
2025-03-11,50,0.04,1,partial_pgd_vs_partial_clean
2025-03-12,50,0.0,1,partial_pgd_vs_partial_clean
2025-03-13,50,0.02,1,partial_pgd_vs_partial_clean
2025-03-14,50,0.04,1,partial_pgd_vs_partial_clean
2025-03-17,50,0.02,1,partial_pgd_vs_partial_clean
2025-03-18,50,0.02,1,partial_pgd_vs_partial_clean
2025-03-19,50,0.0,1,partial_pgd_vs_partial_clean
2025-03-20,50,0.02,1,partial_pgd_vs_partial_clean
2025-03-21,50,0.0,1,partial_pgd_vs_partial_clean
2025-03-24,50,0.08,1,partial_pgd_vs_partial_clean
2025-03-25,50,0.02,1,partial_pgd_vs_partial_clean
2025-03-26,50,0.06,1,partial_pgd_vs_partial_clean
2025-03-27,50,0.02,1,partial_pgd_vs_partial_clean
2025-03-28,50,0.04,1,partial_pgd_vs_partial_clean
2025-03-31,50,0.02,1,partial_pgd_vs_partial_clean
2025-04-01,50,0.02,1,partial_pgd_vs_partial_clean
2025-04-02,50,0.02,1,partial_pgd_vs_partial_clean
2025-04-03,50,0.0,1,partial_pgd_vs_partial_clean
2025-04-07,50,0.22,1,partial_pgd_vs_partial_clean
2025-04-08,50,0.1,1,partial_pgd_vs_partial_clean
2025-04-09,50,0.5,1,partial_pgd_vs_partial_clean
2025-04-10,50,0.14,1,partial_pgd_vs_partial_clean
2025-04-11,50,0.06,1,partial_pgd_vs_partial_clean
2025-04-14,50,0.14,1,partial_pgd_vs_partial_clean
2025-04-15,50,0.02,1,partial_pgd_vs_partial_clean
2025-04-16,50,0.06,1,partial_pgd_vs_partial_clean
2025-04-17,50,0.08,1,partial_pgd_vs_partial_clean
2025-04-18,50,0.06,1,partial_pgd_vs_partial_clean
2025-04-21,50,0.08,1,partial_pgd_vs_partial_clean
2025-04-22,50,0.04,1,partial_pgd_vs_partial_clean
2025-04-23,50,0.06,1,partial_pgd_vs_partial_clean
2025-04-24,50,0.08,1,partial_pgd_vs_partial_clean
2025-04-25,50,0.06,1,partial_pgd_vs_partial_clean
2025-04-28,50,0.04,1,partial_pgd_vs_partial_clean
2025-04-29,50,0.04,1,partial_pgd_vs_partial_clean
2025-04-30,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-06,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-07,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-08,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-09,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-12,50,0.02,1,partial_pgd_vs_partial_clean
2025-05-13,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-14,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-15,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-16,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-19,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-20,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-21,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-22,50,0.02,1,partial_pgd_vs_partial_clean
2025-05-23,50,0.02,1,partial_pgd_vs_partial_clean
2025-05-26,50,0.02,1,partial_pgd_vs_partial_clean
2025-05-27,50,0.02,1,partial_pgd_vs_partial_clean
2025-05-28,50,0.06,1,partial_pgd_vs_partial_clean
2025-05-29,50,0.0,1,partial_pgd_vs_partial_clean
2025-05-30,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-03,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-04,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-05,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-06,50,0.0,1,partial_pgd_vs_partial_clean
2025-06-09,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-10,50,0.06,1,partial_pgd_vs_partial_clean
2025-06-11,50,0.04,1,partial_pgd_vs_partial_clean
2025-06-12,50,0.0,1,partial_pgd_vs_partial_clean
2025-06-13,50,0.06,1,partial_pgd_vs_partial_clean
2025-06-16,50,0.08,1,partial_pgd_vs_partial_clean
2025-06-17,50,0.0,1,partial_pgd_vs_partial_clean
2025-06-18,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-19,50,0.04,1,partial_pgd_vs_partial_clean
2025-06-20,50,0.0,1,partial_pgd_vs_partial_clean
2025-06-23,50,0.06,1,partial_pgd_vs_partial_clean
2025-06-24,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-25,50,0.02,1,partial_pgd_vs_partial_clean
2025-06-26,50,0.06,1,partial_pgd_vs_partial_clean
2025-06-27,50,0.04,1,partial_pgd_vs_partial_clean
2025-06-30,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-01,50,0.04,1,partial_pgd_vs_partial_clean
2025-07-02,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-03,50,0.08,1,partial_pgd_vs_partial_clean
2025-07-04,50,0.04,1,partial_pgd_vs_partial_clean
2025-07-07,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-08,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-09,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-10,50,0.02,1,partial_pgd_vs_partial_clean
2025-07-11,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-14,50,0.04,1,partial_pgd_vs_partial_clean
2025-07-15,50,0.06,1,partial_pgd_vs_partial_clean
2025-07-16,50,0.02,1,partial_pgd_vs_partial_clean
2025-07-17,50,0.04,1,partial_pgd_vs_partial_clean
2025-07-18,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-21,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-22,50,0.08,1,partial_pgd_vs_partial_clean
2025-07-23,50,0.08,1,partial_pgd_vs_partial_clean
2025-07-24,50,0.02,1,partial_pgd_vs_partial_clean
2025-07-25,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-28,50,0.0,1,partial_pgd_vs_partial_clean
2025-07-29,50,0.02,1,partial_pgd_vs_partial_clean
2025-07-30,50,0.02,1,partial_pgd_vs_partial_clean
2025-07-31,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-01,50,0.04,1,partial_pgd_vs_partial_clean
2025-08-04,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-05,50,0.0,1,partial_pgd_vs_partial_clean
2025-08-06,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-07,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-08,50,0.04,1,partial_pgd_vs_partial_clean
2025-08-11,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-12,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-13,50,0.04,1,partial_pgd_vs_partial_clean
2025-08-14,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-15,50,0.0,1,partial_pgd_vs_partial_clean
2025-08-18,50,0.0,1,partial_pgd_vs_partial_clean
2025-08-19,50,0.0,1,partial_pgd_vs_partial_clean
2025-08-20,50,0.04,1,partial_pgd_vs_partial_clean
2025-08-21,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-22,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-25,50,0.0,1,partial_pgd_vs_partial_clean
2025-08-26,50,0.02,1,partial_pgd_vs_partial_clean
2025-08-27,50,0.08,1,partial_pgd_vs_partial_clean
2025-08-28,50,0.18,1,partial_pgd_vs_partial_clean
2025-08-29,50,0.04,1,partial_pgd_vs_partial_clean
2025-09-01,50,0.06,1,partial_pgd_vs_partial_clean
2025-09-02,50,0.06,1,partial_pgd_vs_partial_clean
2025-09-03,50,0.06,1,partial_pgd_vs_partial_clean
2025-09-04,50,0.06,1,partial_pgd_vs_partial_clean
2025-09-05,50,0.02,1,partial_pgd_vs_partial_clean
2025-09-08,50,0.0,1,partial_pgd_vs_partial_clean
2025-09-09,50,0.0,1,partial_pgd_vs_partial_clean
2025-09-10,50,0.0,1,partial_pgd_vs_partial_clean
2025-09-11,50,0.0,1,partial_pgd_vs_partial_clean
2025-09-12,50,0.02,1,partial_pgd_vs_partial_clean
2025-09-15,50,0.0,1,partial_pgd_vs_partial_clean
2025-09-16,50,0.02,1,partial_pgd_vs_partial_clean
2025-09-17,50,0.06,1,partial_pgd_vs_partial_clean
2025-09-18,50,0.08,1,partial_pgd_vs_partial_clean
2025-09-19,50,0.08,1,partial_pgd_vs_partial_clean
2025-09-22,50,0.04,1,partial_pgd_vs_partial_clean
2025-09-23,50,0.06,1,partial_pgd_vs_partial_clean
2025-09-24,50,0.06,1,partial_pgd_vs_partial_clean
2025-09-25,50,0.0,1,partial_pgd_vs_partial_clean
2025-09-26,50,0.0,1,partial_pgd_vs_partial_clean
2025-09-29,50,0.02,1,partial_pgd_vs_partial_clean
2025-09-30,50,0.0,1,partial_pgd_vs_partial_clean
2025-10-09,50,0.02,1,partial_pgd_vs_partial_clean
2025-10-10,50,0.02,1,partial_pgd_vs_partial_clean
2025-10-13,50,0.04,1,partial_pgd_vs_partial_clean
2025-10-14,50,0.06,1,partial_pgd_vs_partial_clean
2025-10-15,50,0.0,1,partial_pgd_vs_partial_clean
2025-10-16,50,0.02,1,partial_pgd_vs_partial_clean
2025-10-17,50,0.0,1,partial_pgd_vs_partial_clean
2025-10-20,50,0.0,1,partial_pgd_vs_partial_clean
2025-10-21,50,0.0,1,partial_pgd_vs_partial_clean
2025-10-22,50,0.02,1,partial_pgd_vs_partial_clean
2025-10-23,50,0.0,1,partial_pgd_vs_partial_clean
2025-10-24,50,0.04,1,partial_pgd_vs_partial_clean
2025-10-27,50,0.04,1,partial_pgd_vs_partial_clean
2025-10-28,50,0.04,1,partial_pgd_vs_partial_clean
2025-10-29,50,0.04,1,partial_pgd_vs_partial_clean
2025-10-30,50,0.02,1,partial_pgd_vs_partial_clean
2025-10-31,50,0.0,1,partial_pgd_vs_partial_clean
2025-01-02,50,0.6,2,partial_fgsm_vs_partial_clean
2025-01-03,50,0.6,2,partial_fgsm_vs_partial_clean
2025-01-06,50,0.36,2,partial_fgsm_vs_partial_clean
2025-01-07,50,0.16,2,partial_fgsm_vs_partial_clean
2025-01-08,50,0.68,2,partial_fgsm_vs_partial_clean
2025-01-09,50,0.7,2,partial_fgsm_vs_partial_clean
2025-01-10,50,0.66,2,partial_fgsm_vs_partial_clean
2025-01-13,50,0.14,2,partial_fgsm_vs_partial_clean
2025-01-14,50,0.16,2,partial_fgsm_vs_partial_clean
2025-01-15,50,0.18,2,partial_fgsm_vs_partial_clean
2025-01-16,50,0.14,2,partial_fgsm_vs_partial_clean
2025-01-17,50,0.16,2,partial_fgsm_vs_partial_clean
2025-01-20,50,0.22,2,partial_fgsm_vs_partial_clean
2025-01-21,50,0.06,2,partial_fgsm_vs_partial_clean
2025-01-22,50,0.1,2,partial_fgsm_vs_partial_clean
2025-01-23,50,0.26,2,partial_fgsm_vs_partial_clean
2025-01-24,50,0.24,2,partial_fgsm_vs_partial_clean
2025-01-27,50,0.06,2,partial_fgsm_vs_partial_clean
2025-02-05,50,0.14,2,partial_fgsm_vs_partial_clean
2025-02-06,50,0.1,2,partial_fgsm_vs_partial_clean
2025-02-07,50,0.1,2,partial_fgsm_vs_partial_clean
2025-02-10,50,0.1,2,partial_fgsm_vs_partial_clean
2025-02-11,50,0.12,2,partial_fgsm_vs_partial_clean
2025-02-12,50,0.12,2,partial_fgsm_vs_partial_clean
2025-02-13,50,0.2,2,partial_fgsm_vs_partial_clean
2025-02-14,50,0.52,2,partial_fgsm_vs_partial_clean
2025-02-17,50,0.4,2,partial_fgsm_vs_partial_clean
2025-02-18,50,0.2,2,partial_fgsm_vs_partial_clean
2025-02-19,50,0.5,2,partial_fgsm_vs_partial_clean
2025-02-20,50,0.12,2,partial_fgsm_vs_partial_clean
2025-02-21,50,0.06,2,partial_fgsm_vs_partial_clean
2025-02-24,50,0.14,2,partial_fgsm_vs_partial_clean
2025-02-25,50,0.24,2,partial_fgsm_vs_partial_clean
2025-02-26,50,0.1,2,partial_fgsm_vs_partial_clean
2025-02-27,50,0.08,2,partial_fgsm_vs_partial_clean
2025-02-28,50,0.18,2,partial_fgsm_vs_partial_clean
2025-03-03,50,0.48,2,partial_fgsm_vs_partial_clean
2025-03-04,50,0.08,2,partial_fgsm_vs_partial_clean
2025-03-05,50,0.04,2,partial_fgsm_vs_partial_clean
2025-03-06,50,0.08,2,partial_fgsm_vs_partial_clean
2025-03-07,50,0.08,2,partial_fgsm_vs_partial_clean
2025-03-10,50,0.08,2,partial_fgsm_vs_partial_clean
2025-03-11,50,0.08,2,partial_fgsm_vs_partial_clean
2025-03-12,50,0.1,2,partial_fgsm_vs_partial_clean
2025-03-13,50,0.14,2,partial_fgsm_vs_partial_clean
2025-03-14,50,0.2,2,partial_fgsm_vs_partial_clean
2025-03-17,50,0.04,2,partial_fgsm_vs_partial_clean
2025-03-18,50,0.04,2,partial_fgsm_vs_partial_clean
2025-03-19,50,0.1,2,partial_fgsm_vs_partial_clean
2025-03-20,50,0.14,2,partial_fgsm_vs_partial_clean
2025-03-21,50,0.14,2,partial_fgsm_vs_partial_clean
2025-03-24,50,0.44,2,partial_fgsm_vs_partial_clean
2025-03-25,50,0.1,2,partial_fgsm_vs_partial_clean
2025-03-26,50,0.14,2,partial_fgsm_vs_partial_clean
2025-03-27,50,0.12,2,partial_fgsm_vs_partial_clean
2025-03-28,50,0.14,2,partial_fgsm_vs_partial_clean
2025-03-31,50,0.4,2,partial_fgsm_vs_partial_clean
2025-04-01,50,0.06,2,partial_fgsm_vs_partial_clean
2025-04-02,50,0.0,2,partial_fgsm_vs_partial_clean
2025-04-03,50,0.08,2,partial_fgsm_vs_partial_clean
2025-04-07,50,0.3,2,partial_fgsm_vs_partial_clean
2025-04-08,50,0.22,2,partial_fgsm_vs_partial_clean
2025-04-09,50,0.7,2,partial_fgsm_vs_partial_clean
2025-04-10,50,0.16,2,partial_fgsm_vs_partial_clean
2025-04-11,50,0.22,2,partial_fgsm_vs_partial_clean
2025-04-14,50,0.24,2,partial_fgsm_vs_partial_clean
2025-04-15,50,0.06,2,partial_fgsm_vs_partial_clean
2025-04-16,50,0.24,2,partial_fgsm_vs_partial_clean
2025-04-17,50,0.14,2,partial_fgsm_vs_partial_clean
2025-04-18,50,0.24,2,partial_fgsm_vs_partial_clean
2025-04-21,50,0.44,2,partial_fgsm_vs_partial_clean
2025-04-22,50,0.14,2,partial_fgsm_vs_partial_clean
2025-04-23,50,0.14,2,partial_fgsm_vs_partial_clean
2025-04-24,50,0.2,2,partial_fgsm_vs_partial_clean
2025-04-25,50,0.22,2,partial_fgsm_vs_partial_clean
2025-04-28,50,0.4,2,partial_fgsm_vs_partial_clean
2025-04-29,50,0.12,2,partial_fgsm_vs_partial_clean
2025-04-30,50,0.0,2,partial_fgsm_vs_partial_clean
2025-05-06,50,0.0,2,partial_fgsm_vs_partial_clean
2025-05-07,50,0.06,2,partial_fgsm_vs_partial_clean
2025-05-08,50,0.02,2,partial_fgsm_vs_partial_clean
2025-05-09,50,0.0,2,partial_fgsm_vs_partial_clean
2025-05-12,50,0.0,2,partial_fgsm_vs_partial_clean
